TABELA DE PEDIDOS;;;;;;;;;DATA ;TIPO;PRODUTOS;QUANTIDADE;CATEGORIAS
;;;;;;;;;09/02/2025;ENTRADA;Água Sem Gás Premium Lindoya;6;
;;;;;;;;;09/02/2025;ENTRADA;;;
BEBIDAS- PRODUTO;UNI;ESTOQUE;ENTRADA;SAÍDA;SALDO FINAL;; ;;09/02/2025;SAÍDA;;;
Água Com Gás Premium Lindoya;Uni;;0;0;0;0;;;09/02/2025;SAÍDA;;;
Água Sem Gás Premium Lindoya;Uni;;6;0;6;;;;;;;;
Amarula;Uni;;0;0;0;;;;;;;;
Aptk Gin Neutral;Uni;;0;0;0;;;;;;;;
Aperitivo Angostura Bitter 200ML;Uni;;0;0;0;;;;;;;;
Aptk Dry Gin;Uni;;0;0;0;;;;;;;;
Aptk Gin Nº2 ;Uni;;0;0;0;;;;;;;;
Aptk Vodka Kgb ;Uni;;0;0;0;;;;;;;;
Cachaça Boazinha ;Uni;;0;0;0;;;;;;;;
Cachaça Claudionor;Uni;;0;0;0;;;;;;;;
Cachaça Dreher Conhaque;Uni;;0;0;0;;;;;;;;
Cachaça Espirito De Minas;Uni;;0;0;0;;;;;;;;
Cachaça Espirito De Minas Ouro;Uni;;0;0;0;;;;;;;;
Cachaça Germana Palha;Uni;;0;0;0;;;;;;;;
Cachaça Janaina;Uni;;0;0;0;;;;;;;;
Cachaça Salinas Tradicional;Uni;;0;0;0;;;;;;;;
Cachaça Salinissima Ouro;Uni;;0;0;0;;;;;;;;
Cachaça Salinissima Prata;Uni;;0;0;0;;;;;;;;
Cachaça Santo Grau Coronel;Uni;;0;0;0;;;;;;;;
Cachaça Santo Grau Paraty;Uni;;0;0;0;;;;;;;;
Cachaça Seleta;Uni;;0;0;0;;;;;;;;
Corona zero;Uni;;0;0;0;;;;;;;;
Cachaça José Cuervo Ouro;Uni;;0;0;0;;;;;;;;
Cachaça José Cuervo Prata;Uni;;0;0;0;;;;;;;;
Campari;Uni;;0;0;0;;;;;;;;
Cerveja Beck'S Descartável;Uni;;0;0;0;;;;;;;;
Cerveja Budweiser Zero;Uni;;0;0;0;;;;;;;;
Cerveja Corona Extra;Uni;;0;0;0;;;;;;;;
Cerveja Stella Artois;Uni;;0;0;0;;;;;;;;
Cerveja Stella S/ Glúten;Uni;;0;0;0;;;;;;;;
Carpano Clássico;Uni;;0;0;0;;;;;;;;
Chope Claro Brahma (50L);Uni;;0;0;0;;;;;;;;
Chope Brahma Escuro (30L);Uni;;0;0;0;;;;;;;;
Cinzano;Uni;;0;0;0;;;;;;;;
Cointreau;Uni;;0;0;0;;;;;;;;
Gin Beefeater 750;Uni;;0;0;0;;;;;;;;
Gin Bombay 750;Uni;;0;0;0;;;;;;;;
Gin Hendrics;Uni;;0;0;0;;;;;;;;
Gin Tanqueray ;Uni;;0;0;0;;;;;;;;
Jack Daniels ;Uni;;0;0;0;;;;;;;;
Licor 43 Diego Zamira 700ml;Uni;;0;0;0;;;;;;;;
Punt E Mes;Uni;;0;0;0;;;;;;;;
Red Bull 255Ml;Uni;;0;0;0;;;;;;;;
Refrigerante Guaraná Antarctica 350Ml ;Uni;;0;0;0;;;;;;;;
Refrigerante Guaraná Antarctica Zero 350Ml ;Uni;;0;0;0;;;;;;;;
Refrigerante Pepsi Cola ;Uni;;0;0;0;;;;;;;;
Refrigerante Pepsi Zero ;Uni;;0;0;0;;;;;;;;
Refrigerante Funcionário;Uni;;0;0;0;;;;;;;;
Refrigerante Tonica Antarctica ;Uni;;0;0;0;;;;;;;;
Refrigerante Tonica Antarctica Zero ;Uni;;0;0;0;;;;;;;;
Rum Bacardi;Uni;;0;0;0;;;;;;;;
Rum Havana;Uni;;0;0;0;;;;;;;;
Saque Azuma Soft;Uni;;0;0;0;;;;;;;;
Spaten;Uni;;0;0;0;;;;;;;;
Stella Pure Gold;Uni;;0;0;0;;;;;;;;
Suco De Tomate Superbom;Uni;;0;0;0;;;;;;;;
Vermute;Uni;;0;0;0;;;;;;;;
Vinho Branco Santa Helena;Uni;;0;0;0;;;;;;;;
Vodka Absolut ;Uni;;0;0;0;;;;;;;;
Whisky Ballantines;Uni;;0;0;0;;;;;;;;
Whisky Black Label;Uni;;0;0;0;;;;;ENTRADA;;;
Whisky Chivas;Uni;;0;0;0;;;;;ENTRADA;;;
Whisky Red Label;Uni;;0;0;0;;;;;ENTRADA;;;
;;;;;;;;;;ENTRADA;;;
;;;;;;;;;;ENTRADA;;;
;;;;;;;;;;ENTRADA;;;
;;;;;;;;;;ENTRADA;;;
;;;;;;;;;;ENTRADA;;;
;;;;;;;;;;ENTRADA;;;
;;;;;;;;;;ENTRADA;;;
;;;;;;;;;;ENTRADA;;;
;;;;;;;;;;ENTRADA;;;
;;;;;;;;;;ENTRADA;;;
;;;;;;;;;;ENTRADA;;;
;;;;;;;;;;ENTRADA;;;
;;;;;;;;;;ENTRADA;;;
;;;;;;;;;;ENTRADA;;;
;;;;;;;;;;ENTRADA;;;
;;;;;;;;;;ENTRADA;;;
;;;;;;;;;;ENTRADA;;;
;;;;;;;;;;ENTRADA;;;
;;;;;;;;;;ENTRADA;;;
;;;;;;;;;;ENTRADA;;;
;;;;;;;;;;ENTRADA;;;
;;;;;;;;;;ENTRADA;;;
;;;;;;;;;;ENTRADA;;;
;;;;;;;;;;ENTRADA;;;
;;;;;;;;;;ENTRADA;;;
;;;;;;;;;;ENTRADA;;;
;;;;;;;;;;ENTRADA;;;
;;;;;;;;;;ENTRADA;;;
;;;;;;;;;;ENTRADA;;;
;;;;;;;;;;ENTRADA;;;
;;;;;;;;;;ENTRADA;;;
;;;;;;;;;;ENTRADA;;;
;;;;;;;;;;ENTRADA;;;
;;;;;;;;;;ENTRADA;;;
;;;;;;;;;;ENTRADA;;;
;;;;;;;;;;ENTRADA;;;
;;;;;;;;;;ENTRADA;;;
;;;;;;;;;;ENTRADA;;;
;;;;;;;;;;ENTRADA;;;
;;;;;;;;;;ENTRADA;;;
;;;;;;;;;;ENTRADA;;;
;;;;;;;;;;ENTRADA;;;
;;;;;;;;;;ENTRADA;;;
;;;;;;;;;;ENTRADA;;;
;;;;;;;;;;ENTRADA;;;
;;;;;;;;;;ENTRADA;;;
;;;;;;;;;;ENTRADA;;;
;;;;;;;;;;ENTRADA;;;
;;;;;;;;;;ENTRADA;;;
;;;;;;;;;;ENTRADA;;;
;;;;;;;;;;ENTRADA;;;
;;;;;;;;;;ENTRADA;;;
;;;;;;;;;;ENTRADA;;;
;;;;;;;;;;ENTRADA;;;
;;;;;;;;;;ENTRADA;;;
;;;;;;;;;;ENTRADA;;;
;;;;;;;;;;ENTRADA;;;
;;;;;;;;;;ENTRADA;;;
;;;;;;;;;;ENTRADA;;;
;;;;;;;;;;;;;
